Victim_ID,Name,Age,Gender,State,District,Phone,Disaster_ID,Camp_ID,Medical_Status
VIC0036,Priya Reddy,85,Male,Tamil Nadu,District_C,9675458402,DIS007,CAMP009,Serious Injuries
VIC0037,Pranav Shah,33,Female,Rajasthan,District_D,9957863044,DIS031,CAMP016,Serious Injuries
VIC0038,Ayaan Sharma,9,Female,Tamil Nadu,District_D,9420193147,DIS018,CAMP022,Healthy
VIC0039,Krishna Verma,82,Female,Uttar Pradesh,District_A,9203684777,DIS018,CAMP068,Healthy
VIC0040,Sana Kumar,61,Male,Karnataka,District_A,9650342913,DIS002,CAMP074,Serious Injuries
VIC0041,Arjun Reddy,32,Male,Gujarat,District_B,9808669995,DIS004,CAMP037,Minor Injuries
VIC0042,Anvi Menon,15,Female,Odisha,District_C,9124984657,DIS024,CAMP012,Serious Injuries
VIC0043,Sanjay Nair,63,Male,Kerala,District_C,9462891073,DIS017,CAMP084,Critical
VIC0044,Pooja Joshi,20,Female,Karnataka,District_D,9962470348,DIS005,CAMP014,Healthy
VIC0045,Ayaan Patel,52,Female,Bihar,District_A,9133012667,DIS021,CAMP083,Healthy
VIC0046,Vihaan Yadav,20,Male,Uttar Pradesh,District_A,9595774245,DIS049,CAMP087,Under Treatment
VIC0047,Arjun Singh,35,Male,Kerala,District_C,9546677304,DIS041,CAMP087,Serious Injuries
VIC0048,Sanjay Yadav,47,Female,Maharashtra,District_A,9347479469,DIS011,CAMP034,Serious Injuries
VIC0049,Aditya Verma,2,Male,Odisha,District_C,9416987310,DIS050,CAMP100,Under Treatment
VIC0050,Myra Pandey,74,Female,Gujarat,District_A,9918504472,DIS010,CAMP043,Healthy
VIC0051,Anvi Shah,27,Female,Bihar,District_D,9551350484,DIS025,CAMP074,Under Treatment
VIC0052,Aarav Menon,51,Male,Kerala,District_A,9602477273,DIS017,CAMP083,Critical
VIC0053,Riya Yadav,38,Male,Bihar,District_D,9218143424,DIS045,CAMP094,Minor Injuries
VIC0054,Krishna Mehta,20,Female,Tamil Nadu,District_B,9381350602,DIS001,CAMP054,Critical
VIC0055,Ananya Joshi,64,Female,Tamil Nadu,District_C,9574909101,DIS031,CAMP030,Serious Injuries
VIC0056,Aarav Pandey,56,Male,Maharashtra,District_B,9162128951,DIS005,CAMP011,Healthy
VIC0057,Riya Kumar,28,Male,Bihar,District_B,9614817897,DIS023,CAMP024,Minor Injuries
VIC0058,Aryan Nair,84,Female,Bihar,District_B,9637063193,DIS002,CAMP033,Minor Injuries
VIC0059,Priya Reddy,66,Male,Odisha,District_D,9145831587,DIS021,CAMP083,Critical
VIC0060,Sunita Patel,75,Female,Karnataka,District_D,9115931772,DIS027,CAMP006,Healthy
VIC0061,Aarav Gupta,63,Female,Odisha,District_B,9611627780,DIS035,CAMP093,Healthy
VIC0062,Shaurya Menon,46,Female,Rajasthan,District_C,9888184327,DIS005,CAMP057,Minor Injuries
VIC0063,Sai Joshi,74,Female,Karnataka,District_B,9392661189,DIS003,CAMP072,Serious Injuries
VIC0064,Pranav Verma,77,Female,Rajasthan,District_C,9199659454,DIS034,CAMP096,Under Treatment
VIC0065,Raj Verma,54,Male,Maharashtra,District_A,9260255313,DIS003,CAMP061,Healthy
VIC0066,Amit Pandey,33,Female,Tamil Nadu,District_A,9232191705,DIS005,CAMP100,Healthy
VIC0067,Aditya Rao,26,Male,Karnataka,District_A,9636296808,DIS033,CAMP051,Healthy
VIC0068,Vihaan Menon,72,Female,Maharashtra,District_A,9627598848,DIS020,CAMP081,Healthy
VIC0069,Isha Shah,41,Female,Tamil Nadu,District_A,9504487862,DIS038,CAMP044,Healthy
VIC0070,Dhruv Nair,46,Male,Kerala,District_D,9662698303,DIS025,CAMP042,Under Treatment
VIC0071,Vivaan Mehta,28,Female,Karnataka,District_B,9527128480,DIS042,CAMP023,Under Treatment
VIC0072,Vihaan Yadav,2,Female,Odisha,District_D,9237995214,DIS021,CAMP098,Minor Injuries
VIC0073,Riya Gupta,24,Male,Gujarat,District_A,9444500009,DIS005,CAMP042,Serious Injuries
VIC0074,Priya Gupta,7,Female,Rajasthan,District_A,9219388071,DIS010,CAMP087,Serious Injuries
VIC0075,Arjun Gupta,3,Female,Bihar,District_C,9679527335,DIS027,CAMP076,Healthy
VIC0076,Arjun Gupta,16,Male,Karnataka,District_A,9732141422,DIS021,CAMP086,Critical
VIC0077,Vivaan Rao,49,Female,Odisha,District_A,9553602034,DIS033,CAMP087,Minor Injuries
VIC0078,Sanjay Verma,53,Female,Tamil Nadu,District_B,9926119995,DIS036,CAMP088,Under Treatment
VIC0079,Ananya Menon,19,Male,Bihar,District_C,9532878124,DIS039,CAMP071,Under Treatment
VIC0080,Sana Joshi,50,Male,Gujarat,District_A,9157712937,DIS042,CAMP077,Healthy
VIC0081,Sunita Shah,52,Female,Uttar Pradesh,District_C,9813291958,DIS024,CAMP053,Minor Injuries
VIC0082,Sara Patel,25,Male,Bihar,District_A,9576740750,DIS032,CAMP048,Under Treatment
VIC0083,Vivaan Menon,76,Male,Tamil Nadu,District_D,9137466957,DIS018,CAMP018,Under Treatment
VIC0084,Vivaan Menon,65,Female,Tamil Nadu,District_C,9230129440,DIS007,CAMP078,Healthy
VIC0085,Krishna Yadav,19,Female,Maharashtra,District_C,9791975186,DIS003,CAMP030,Under Treatment
VIC0086,Vihaan Verma,24,Male,Karnataka,District_C,9153876118,DIS041,CAMP038,Healthy
VIC0087,Isha Mehta,39,Male,Maharashtra,District_B,9951114609,DIS002,CAMP036,Healthy
VIC0088,Sunita Menon,47,Male,Maharashtra,District_C,9207194832,DIS043,CAMP052,Serious Injuries
VIC0089,Sana Sharma,50,Male,Bihar,District_A,9277794756,DIS004,CAMP020,Serious Injuries
VIC0090,Anvi Mehta,5,Male,Odisha,District_A,9182337399,DIS001,CAMP033,Healthy
VIC0091,Sneha Shah,64,Male,Gujarat,District_B,9687042580,DIS004,CAMP025,Critical
VIC0092,Sara Gupta,40,Male,Odisha,District_B,9414929239,DIS049,CAMP098,Under Treatment
VIC0093,Amit Rao,81,Male,Odisha,District_D,9386853991,DIS038,CAMP074,Under Treatment
VIC0094,Sanjay Gupta,41,Female,Odisha,District_A,9290347100,DIS021,CAMP076,Serious Injuries
VIC0095,Vihaan Reddy,83,Male,Uttar Pradesh,District_B,9956089717,DIS036,CAMP047,Critical
VIC0096,Dhruv Verma,1,Female,Gujarat,District_D,9965611438,DIS024,CAMP076,Serious Injuries
VIC0097,Vivaan Yadav,67,Female,Uttar Pradesh,District_B,9562051968,DIS046,CAMP046,Healthy
VIC0098,Riya Shah,39,Female,Gujarat,District_B,9517642576,DIS018,CAMP077,Healthy
VIC0099,Ananya Gupta,71,Male,Gujarat,District_D,9739031222,DIS044,CAMP060,Under Treatment
VIC0100,Rohan Yadav,35,Female,Bihar,District_D,9517724499,DIS038,CAMP026,Serious Injuries
VIC0101,Ananya Patel,82,Male,West Bengal,District_A,9713447127,DIS005,CAMP037,Healthy
VIC0102,Ishita Shah,22,Female,Odisha,District_C,9783808776,DIS007,CAMP030,Healthy
VIC0103,Raj Rao,10,Male,Odisha,District_C,9495199317,DIS002,CAMP068,Minor Injuries
VIC0104,Diya Yadav,48,Male,Uttar Pradesh,District_D,9349371995,DIS015,CAMP091,Serious Injuries
VIC0105,Sai Menon,27,Male,Karnataka,District_B,9230386108,DIS023,CAMP053,Under Treatment
VIC0106,Krishna Mehta,80,Female,Karnataka,District_D,9566003454,DIS006,CAMP065,Critical
VIC0107,Amit Menon,30,Female,Uttar Pradesh,District_C,9243656465,DIS006,CAMP002,Healthy
VIC0108,Sara Kumar,12,Male,Bihar,District_C,9606807135,DIS034,CAMP023,Serious Injuries
VIC0109,Sunita Sharma,21,Female,Bihar,District_A,9167013000,DIS036,CAMP089,Healthy
VIC0110,Aarav Kumar,70,Female,Tamil Nadu,District_D,9270443469,DIS012,CAMP018,Serious Injuries
VIC0111,Ishika Patel,53,Male,Tamil Nadu,District_D,9363307628,DIS012,CAMP091,Minor Injuries
VIC0112,Diya Verma,22,Female,Gujarat,District_A,9132060218,DIS036,CAMP039,Healthy
VIC0113,Sana Desai,4,Female,Kerala,District_D,9443343701,DIS032,CAMP047,Healthy
VIC0114,Sara Singh,67,Male,West Bengal,District_D,9662383049,DIS007,CAMP024,Under Treatment
VIC0115,Pranav Rao,49,Male,Uttar Pradesh,District_B,9177794077,DIS034,CAMP074,Minor Injuries
VIC0116,Sunita Mehta,57,Female,Odisha,District_B,9871399137,DIS018,CAMP086,Under Treatment
VIC0117,Vihaan Nair,42,Female,Bihar,District_B,9812235173,DIS026,CAMP018,Healthy
VIC0118,Pranav Nair,58,Male,Gujarat,District_A,9291053189,DIS007,CAMP003,Healthy
VIC0119,Priya Nair,82,Male,Tamil Nadu,District_D,9540389339,DIS006,CAMP057,Minor Injuries
VIC0120,Arjun Verma,66,Male,Odisha,District_B,9496300304,DIS012,CAMP024,Minor Injuries
VIC0121,Sai Yadav,67,Male,Rajasthan,District_A,9462989515,DIS021,CAMP035,Healthy
VIC0122,Rohan Rao,41,Female,Rajasthan,District_A,9220954437,DIS032,CAMP045,Minor Injuries
VIC0123,Riya Patel,68,Male,Tamil Nadu,District_C,9164215996,DIS028,CAMP094,Critical
VIC0124,Anika Verma,32,Male,Tamil Nadu,District_D,9323032231,DIS042,CAMP013,Under Treatment
VIC0125,Ishita Rao,65,Female,Karnataka,District_D,9184436429,DIS035,CAMP052,Under Treatment
VIC0126,Priya Reddy,17,Female,Gujarat,District_B,9279131990,DIS014,CAMP094,Critical
VIC0127,Isha Sharma,13,Male,Karnataka,District_A,9821912220,DIS035,CAMP087,Critical
VIC0128,Krishna Nair,64,Female,Bihar,District_C,9163144527,DIS018,CAMP054,Critical
VIC0129,Shaurya Yadav,16,Male,Maharashtra,District_D,9413530076,DIS012,CAMP020,Healthy
VIC0130,Isha Patel,66,Male,Tamil Nadu,District_A,9431695214,DIS037,CAMP026,Healthy
VIC0131,Arjun Mehta,17,Female,Rajasthan,District_B,9413503425,DIS007,CAMP056,Serious Injuries
VIC0132,Sai Singh,69,Male,Tamil Nadu,District_D,9636892974,DIS004,CAMP057,Healthy
VIC0133,Sai Kumar,58,Female,Odisha,District_C,9511253615,DIS049,CAMP093,Minor Injuries
VIC0134,Isha Shah,24,Female,Kerala,District_A,9443101998,DIS040,CAMP027,Serious Injuries
VIC0135,Dhruv Joshi,23,Female,Bihar,District_A,9238035975,DIS040,CAMP037,Critical
VIC0136,Pranav Yadav,7,Female,Uttar Pradesh,District_D,9668876379,DIS014,CAMP020,Serious Injuries
VIC0137,Sneha Shah,39,Female,Kerala,District_D,9675885552,DIS042,CAMP095,Serious Injuries
VIC0138,Anvi Shah,3,Male,Odisha,District_D,9670061098,DIS041,CAMP028,Serious Injuries
VIC0139,Isha Joshi,58,Male,West Bengal,District_C,9621589558,DIS023,CAMP050,Serious Injuries
VIC0140,Isha Joshi,61,Male,Uttar Pradesh,District_D,9531592383,DIS050,CAMP001,Healthy
VIC0141,Ishika Reddy,58,Female,Odisha,District_B,9764269914,DIS037,CAMP019,Minor Injuries
VIC0142,Riya Rao,49,Male,Bihar,District_A,9188323265,DIS035,CAMP079,Minor Injuries
VIC0143,Anika Patel,70,Male,Tamil Nadu,District_B,9531596252,DIS005,CAMP039,Healthy
VIC0144,Ananya Verma,7,Female,Kerala,District_C,9117498770,DIS027,CAMP089,Under Treatment
VIC0145,Diya Shah,55,Female,Tamil Nadu,District_A,9546861618,DIS047,CAMP085,Serious Injuries
VIC0146,Sunita Singh,84,Male,West Bengal,District_B,9512549321,DIS050,CAMP023,Healthy
VIC0147,Anvi Yadav,30,Male,Bihar,District_C,9345236978,DIS009,CAMP037,Under Treatment
VIC0148,Sanjay Mehta,52,Male,Gujarat,District_C,9897410382,DIS009,CAMP099,Minor Injuries
VIC0149,Aarav Yadav,22,Male,Rajasthan,District_A,9563062233,DIS017,CAMP048,Under Treatment
VIC0150,Shaurya Gupta,12,Female,Kerala,District_A,9694744113,DIS028,CAMP076,Healthy
VIC0151,Amit Sharma,29,Female,Maharashtra,District_B,9905304630,DIS049,CAMP043,Healthy
VIC0152,Arjun Pandey,47,Male,Odisha,District_B,9351305468,DIS011,CAMP007,Minor Injuries
VIC0153,Amit Joshi,26,Male,Karnataka,District_A,9341663864,DIS035,CAMP052,Healthy
VIC0154,Rohan Rao,65,Female,Uttar Pradesh,District_C,9482680862,DIS024,CAMP061,Healthy
VIC0155,Aryan Patel,21,Female,Bihar,District_D,9866458598,DIS003,CAMP067,Minor Injuries
VIC0156,Arjun Menon,3,Female,Odisha,District_C,9423002485,DIS049,CAMP080,Serious Injuries
VIC0157,Ishika Joshi,51,Male,Maharashtra,District_A,9104156987,DIS020,CAMP014,Healthy
VIC0158,Ishika Patel,53,Female,Gujarat,District_A,9745935051,DIS039,CAMP020,Healthy
VIC0159,Raj Mehta,18,Male,Rajasthan,District_D,9108586282,DIS003,CAMP080,Minor Injuries
VIC0160,Sana Rao,35,Male,Maharashtra,District_D,9912189638,DIS023,CAMP095,Healthy
VIC0161,Arjun Desai,69,Female,Bihar,District_D,9890791690,DIS031,CAMP005,Critical
VIC0162,Rohan Desai,60,Male,Rajasthan,District_B,9806509316,DIS020,CAMP042,Healthy
VIC0163,Aarav Menon,53,Female,Kerala,District_A,9191686335,DIS002,CAMP076,Critical
VIC0164,Raj Nair,12,Male,Kerala,District_D,9358687201,DIS009,CAMP078,Healthy
VIC0165,Aditya Mehta,78,Female,Odisha,District_C,9719166235,DIS039,CAMP074,Serious Injuries
VIC0166,Aanya Mehta,17,Male,Maharashtra,District_C,9697435774,DIS041,CAMP046,Serious Injuries
VIC0167,Arjun Gupta,67,Male,Tamil Nadu,District_C,9894883390,DIS009,CAMP088,Healthy
VIC0168,Isha Joshi,67,Female,Gujarat,District_A,9889528957,DIS013,CAMP063,Minor Injuries
VIC0169,Dhruv Singh,52,Female,Bihar,District_B,9320707409,DIS020,CAMP013,Under Treatment
VIC0170,Anvi Singh,33,Female,Uttar Pradesh,District_A,9750491966,DIS032,CAMP036,Minor Injuries
VIC0171,Riya Reddy,63,Female,Odisha,District_C,9762261300,DIS026,CAMP036,Healthy
VIC0172,Myra Patel,76,Male,Uttar Pradesh,District_A,9554031207,DIS046,CAMP075,Minor Injuries
VIC0173,Diya Menon,15,Female,Tamil Nadu,District_A,9804607763,DIS010,CAMP012,Under Treatment
VIC0174,Aanya Patel,82,Female,Tamil Nadu,District_D,9982258102,DIS043,CAMP007,Under Treatment
VIC0175,Vivaan Sharma,38,Female,Maharashtra,District_C,9152426764,DIS044,CAMP041,Minor Injuries
VIC0176,Pooja Rao,49,Female,Gujarat,District_C,9192396419,DIS039,CAMP011,Under Treatment
VIC0177,Krishna Sharma,26,Male,Odisha,District_D,9608771585,DIS022,CAMP028,Healthy
VIC0178,Anvi Joshi,85,Male,Odisha,District_D,9212687414,DIS044,CAMP019,Healthy
VIC0179,Pooja Desai,53,Male,Bihar,District_B,9645733270,DIS010,CAMP019,Under Treatment
VIC0180,Riya Shah,22,Male,Maharashtra,District_B,9840194170,DIS031,CAMP077,Serious Injuries
VIC0181,Arjun Patel,15,Female,Bihar,District_B,9691580340,DIS012,CAMP003,Serious Injuries
VIC0182,Sana Verma,4,Male,Tamil Nadu,District_D,9448641940,DIS048,CAMP018,Serious Injuries
VIC0183,Raj Sharma,22,Male,Uttar Pradesh,District_B,9755439292,DIS042,CAMP013,Serious Injuries
VIC0184,Aarav Yadav,74,Female,Rajasthan,District_B,9643945629,DIS037,CAMP002,Under Treatment
VIC0185,Shaurya Singh,39,Female,Kerala,District_C,9798301664,DIS014,CAMP096,Serious Injuries
VIC0186,Anvi Menon,28,Male,Odisha,District_B,9483239141,DIS011,CAMP072,Minor Injuries
VIC0187,Aarav Shah,62,Female,Rajasthan,District_B,9183992375,DIS039,CAMP047,Minor Injuries
VIC0188,Krishna Verma,21,Male,Bihar,District_D,9169329839,DIS023,CAMP027,Healthy
VIC0189,Sunita Sharma,8,Female,Kerala,District_C,9283932804,DIS022,CAMP055,Healthy
VIC0190,Arjun Joshi,57,Male,West Bengal,District_B,9257697625,DIS042,CAMP032,Minor Injuries
VIC0191,Aanya Reddy,39,Female,Uttar Pradesh,District_B,9400557194,DIS024,CAMP066,Under Treatment
VIC0192,Isha Reddy,59,Male,Kerala,District_A,9717328492,DIS041,CAMP100,Healthy
VIC0193,Myra Pandey,32,Male,Karnataka,District_A,9918449374,DIS050,CAMP020,Under Treatment
VIC0194,Pooja Reddy,16,Female,Gujarat,District_D,9523744774,DIS049,CAMP058,Under Treatment
VIC0195,Sneha Rao,1,Male,Odisha,District_B,9995215625,DIS040,CAMP064,Under Treatment
VIC0196,Aryan Menon,72,Female,Odisha,District_C,9264102306,DIS017,CAMP099,Healthy
VIC0197,Aditya Mehta,67,Female,Uttar Pradesh,District_A,9355862835,DIS023,CAMP086,Serious Injuries
VIC0198,Vihaan Sharma,77,Female,Maharashtra,District_B,9582020135,DIS004,CAMP019,Healthy
VIC0199,Ayaan Desai,47,Male,Tamil Nadu,District_B,9206096228,DIS022,CAMP018,Healthy
VIC0200,Aditya Verma,76,Male,Uttar Pradesh,District_B,9808253048,DIS019,CAMP008,Under Treatment
VIC0201,Raj Sharma,2,Female,Karnataka,District_B,9640675151,DIS030,CAMP029,Serious Injuries
VIC0202,Diya Sharma,48,Female,Bihar,District_D,9325351204,DIS031,CAMP065,Healthy
VIC0203,Diya Sharma,81,Male,Maharashtra,District_B,9416272502,DIS039,CAMP010,Serious Injuries
VIC0204,Krishna Kumar,58,Female,Maharashtra,District_B,9189907539,DIS044,CAMP087,Under Treatment
VIC0205,Krishna Kumar,66,Male,Gujarat,District_B,9289466476,DIS022,CAMP009,Under Treatment
VIC0206,Riya Pandey,5,Male,West Bengal,District_B,9274667075,DIS039,CAMP080,Healthy
VIC0207,Arjun Joshi,70,Female,Uttar Pradesh,District_D,9712656970,DIS049,CAMP034,Critical
VIC0208,Krishna Mehta,67,Male,Bihar,District_A,9597235767,DIS046,CAMP084,Minor Injuries
VIC0209,Sara Singh,8,Female,Kerala,District_A,9514514281,DIS015,CAMP070,Serious Injuries
VIC0210,Raj Joshi,79,Male,West Bengal,District_C,9642157285,DIS023,CAMP062,Minor Injuries
VIC0211,Shaurya Sharma,35,Female,Tamil Nadu,District_A,9122887866,DIS024,CAMP076,Under Treatment
VIC0212,Sara Shah,16,Female,Gujarat,District_B,9120110596,DIS031,CAMP010,Minor Injuries
VIC0213,Ananya Patel,49,Female,Uttar Pradesh,District_A,9478611582,DIS009,CAMP072,Serious Injuries
VIC0214,Rohan Reddy,15,Female,Karnataka,District_D,9567280606,DIS041,CAMP077,Serious Injuries
VIC0215,Sunita Rao,17,Female,Tamil Nadu,District_D,9469859670,DIS012,CAMP077,Minor Injuries
VIC0216,Aarav Menon,11,Female,Gujarat,District_A,9998380404,DIS044,CAMP019,Minor Injuries
VIC0217,Arjun Joshi,80,Male,Rajasthan,District_C,9734922141,DIS028,CAMP034,Healthy
VIC0218,Aditya Kumar,23,Female,Karnataka,District_C,9807672587,DIS043,CAMP075,Healthy
VIC0219,Sanjay Sharma,28,Male,Rajasthan,District_C,9285554308,DIS049,CAMP072,Minor Injuries
VIC0220,Aditya Reddy,80,Male,Kerala,District_D,9861691196,DIS012,CAMP054,Under Treatment
VIC0221,Myra Pandey,33,Female,Bihar,District_D,9270772724,DIS023,CAMP065,Minor Injuries
VIC0222,Arjun Patel,35,Male,Karnataka,District_B,9266520683,DIS022,CAMP077,Serious Injuries
VIC0223,Rohan Yadav,76,Female,Odisha,District_A,9111272546,DIS042,CAMP099,Healthy
VIC0224,Arjun Singh,12,Female,Kerala,District_D,9522349797,DIS015,CAMP034,Under Treatment
VIC0225,Raj Reddy,46,Male,Rajasthan,District_B,9863277625,DIS019,CAMP033,Healthy
VIC0226,Sneha Singh,39,Male,Maharashtra,District_C,9550105504,DIS023,CAMP033,Healthy
VIC0227,Diya Rao,61,Male,Tamil Nadu,District_D,9772535544,DIS009,CAMP032,Minor Injuries
VIC0228,Aditya Menon,10,Female,Rajasthan,District_D,9857723665,DIS028,CAMP003,Serious Injuries
VIC0229,Sneha Verma,64,Female,Bihar,District_B,9401820749,DIS013,CAMP015,Minor Injuries
VIC0230,Dhruv Patel,78,Male,Tamil Nadu,District_D,9900315021,DIS047,CAMP036,Serious Injuries
VIC0231,Raj Yadav,13,Female,Kerala,District_B,9543479254,DIS048,CAMP097,Minor Injuries
VIC0232,Pranav Gupta,37,Female,Rajasthan,District_D,9319025613,DIS046,CAMP076,Serious Injuries
VIC0233,Myra Verma,82,Female,Karnataka,District_A,9319165129,DIS007,CAMP071,Under Treatment
VIC0234,Aryan Singh,14,Female,Odisha,District_C,9135392289,DIS040,CAMP075,Healthy
VIC0235,Myra Shah,26,Female,Rajasthan,District_D,9795434996,DIS020,CAMP073,Healthy
VIC0236,Diya Shah,50,Female,Tamil Nadu,District_B,9954361655,DIS030,CAMP058,Serious Injuries
VIC0237,Diya Joshi,42,Male,Gujarat,District_C,9313022444,DIS006,CAMP030,Minor Injuries
VIC0238,Aryan Menon,50,Male,Bihar,District_D,9866655704,DIS040,CAMP052,Under Treatment
VIC0239,Riya Desai,53,Male,Maharashtra,District_A,9424130410,DIS007,CAMP002,Minor Injuries
VIC0240,Diya Joshi,53,Female,Gujarat,District_B,9878692094,DIS001,CAMP036,Healthy
VIC0241,Aarav Desai,73,Male,Maharashtra,District_C,9949832408,DIS008,CAMP039,Healthy
VIC0242,Vivaan Desai,62,Female,Maharashtra,District_C,9649474948,DIS002,CAMP058,Healthy
VIC0243,Anika Patel,72,Male,Odisha,District_D,9832869797,DIS049,CAMP053,Healthy
VIC0244,Sanjay Shah,16,Male,Tamil Nadu,District_D,9414065987,DIS027,CAMP051,Healthy
VIC0245,Ishika Yadav,40,Female,Gujarat,District_B,9652086414,DIS042,CAMP016,Critical
VIC0246,Shaurya Nair,2,Female,West Bengal,District_B,9124940418,DIS048,CAMP041,Healthy
VIC0247,Diya Desai,65,Male,Uttar Pradesh,District_A,9979011435,DIS018,CAMP055,Healthy
VIC0248,Riya Verma,44,Male,Odisha,District_B,9581265551,DIS027,CAMP021,Healthy
VIC0249,Aryan Verma,23,Male,West Bengal,District_A,9826373143,DIS012,CAMP040,Minor Injuries
VIC0250,Sara Menon,68,Male,Bihar,District_C,9988868769,DIS004,CAMP009,Serious Injuries
VIC0251,Arjun Gupta,24,Male,Uttar Pradesh,District_D,9514157501,DIS021,CAMP040,Healthy
VIC0252,Raj Rao,30,Male,Rajasthan,District_A,9619237615,DIS013,CAMP081,Healthy
VIC0253,Anvi Shah,13,Female,Gujarat,District_B,9977677477,DIS035,CAMP056,Healthy
VIC0254,Aditya Joshi,15,Male,Gujarat,District_C,9799480812,DIS019,CAMP031,Critical
VIC0255,Ayaan Gupta,57,Male,West Bengal,District_C,9594659002,DIS021,CAMP055,Healthy
VIC0256,Pooja Gupta,25,Female,Rajasthan,District_C,9707502184,DIS008,CAMP015,Minor Injuries
VIC0257,Sai Gupta,80,Female,Bihar,District_D,9357052365,DIS034,CAMP054,Healthy
VIC0258,Krishna Rao,41,Female,Rajasthan,District_D,9944411618,DIS048,CAMP036,Healthy
VIC0259,Aanya Gupta,21,Female,Kerala,District_D,9943571533,DIS012,CAMP077,Minor Injuries
VIC0260,Ayaan Gupta,81,Male,Odisha,District_A,9597145934,DIS019,CAMP093,Healthy
VIC0261,Diya Joshi,66,Female,Maharashtra,District_B,9292977514,DIS014,CAMP100,Healthy
VIC0262,Raj Rao,54,Male,Bihar,District_B,9474482032,DIS026,CAMP068,Healthy
VIC0263,Anvi Gupta,73,Male,Odisha,District_A,9911444909,DIS018,CAMP009,Serious Injuries
VIC0264,Amit Shah,1,Male,West Bengal,District_A,9270991398,DIS013,CAMP073,Serious Injuries
VIC0265,Aditya Nair,47,Female,Gujarat,District_B,9723509597,DIS024,CAMP009,Serious Injuries
